fishname,fs,fishdate,time_flow,time_react,tdiff,info,info_other,direction,stable10prev,change10,stable10after
fish71,low,25/03/2021,12:37:40,x,,unstable,unstable,Flow Clockwise (1),,,
fish72,low,25/03/2021,13:05:25,x,,unstable,unstable,Flow Counterclockwise (2),,,
fish73,low,25/03/2021,13:32:12,x,,unstable,swims off,Flow Clockwise (1),,,
fish74,low,25/03/2021,14:00:47,x,,no_reaction,holding sideways to flow,Flow Counterclockwise (2),,,
fish75,low,25/03/2021,14:29:47,x,,unstable,unstable,Flow Clockwise (1),,,
fish76,low,25/03/2021,14:57:32,14:58:23,00:00:51,dir_change,stable,Flow Counterclockwise (2),,,
fish77,low,25/03/2021,15:24:50,x,,no_reaction,"stable, but holding sideways",Flow Clockwise (1),,,
fish78,low,25/03/2021,16:11:30,16:14:13,00:02:43,dir_change,stable,Flow Counterclockwise (2),,,
fish79,low,25/03/2021,16:42:06,x,,no_reaction,"not sure, it is being turned around maybe.",Flow Clockwise (1),,,
fish80,low,25/03/2021,17:10:25,17:11:04,00:00:39,dir_change,stable,Flow Counterclockwise (2),,,
fish81,low,25/03/2021,17:43:11,17:43:51,00:00:40,dir_change,stable,Flow Clockwise (1),,,
fish82,high,27/03/2021,09:36:21,x,,unstable,unstable,Flow Clockwise (1),,,
fish83,high,27/03/2021,10:06:54,x,,unstable,unstable,Flow Counterclockwise (2),,,
fish84,high,27/03/2021,10:35:41,10:36:16,00:00:35,dir_change,dir change,Flow Clockwise (1),,,
fish85,high,27/03/2021,11:03:58,11:10:12,00:06:14,swim_off,swims off,Flow Counterclockwise (2),,,
fish86,high,27/03/2021,11:32:15,11:32:35,00:00:20,dir_change,dir change,Flow Clockwise (1),,,
fish87,high,27/03/2021,11:59:02,11:59:40,00:00:38,dir_change,dir change,Flow Counterclockwise (2),,,
fish88,high,27/03/2021,12:33:10,12:33:28,00:00:18,dir_change,dir change,Flow Clockwise (1),,,
fish89,high,27/03/2021,13:01:39,x,,unstable,unstable,Flow Counterclockwise (2),,,
fish90,high,27/03/2021,13:28:21,13:28:43,00:00:22,dir_change,dir change,Flow Clockwise (1),,,
fish91,high,27/03/2021,13:58:18,13:58:57,00:00:39,dir_change,beta,Flow Counterclockwise (2),,,
fish92,high,27/03/2021,14:32:35,14:33:05,00:00:30,swim_off,swim off,Flow Clockwise (1),,,
fish93,high,27/03/2021,15:03:53,15:05:25,00:01:32,dir_change,dir change,Flow Counterclockwise (2),,,
fish94,high,27/03/2021,15:43:15,15:44:14,00:00:59,swim_off,swim off,Flow Clockwise (1),,,
fish95,high,27/03/2021,16:10:40,16:11:35,00:00:55,dir_change,beta,Flow Counterclockwise (2),,,
fish96,high,27/03/2021,16:41:00,x,,unstable,unstable,Flow Clockwise (1),,,
farmed97,high,28/03/2021,12:49:18,x,,unstable,unstable,Flow Clockwise (1),,,
farmed98,high,28/03/2021,13:18:24,13:19:36,00:01:12,swim_off,swim off,Flow Counterclockwise (2),,,
