fishname,fs,fishdate,time_flow,time_react,tdiff,info,info_other,direction,stable10prev,change10,stable10after,loc_name,loc_x,loc_y,Unnamed: 3,flocs,fdist,stable10prev_v,stable10next_v,change10_v,change5,change5_v,change1,asfractprev5,asfractprev10,tsec,abs1,abs5,abs10,fsdir
indoorfarmed11,old,5Aug,16:00:19,-,nan,error,,-1,,,,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed12,old,5Aug,16:40:41,-,nan,unstable,,-1,,,,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed13,old,5Aug,16:41:06,16:43:33,00:02:27,dir_change,,1,4.0,-5.0,-6.0,,,,,,,,,,,,,,,147.0,,,5.0,old1
indoorfarmed14,old,5Aug,17:18:58,-,nan,error,,-1,,,,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed15,old,5Aug,17:52:24,-,nan,error,,1,,,,,,,,,,,,,,,,,,,,,,old1
indoorfarmed16,old,5Aug,18:23:09,-,nan,error,,-1,,,,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed17,old,5Aug,18:56:21,-,nan,error,,1,,,,,,,,,,,,,,,,,,,,,,old1
indoorfarmed18,old,5Aug,19:14:42,-,nan,error,,-1,,,,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed19,old,6Aug,09:45:58,-,nan,unstable,,1,,,,,,,,,,,,,,,,,,,,,,old1
indoorfarmed20,old,6Aug,10:17:33,10:18:39,00:01:06,dir_change,,-1,-15.0,6.0,10.0,,,,,,,,,,,,,,,66.0,,,6.0,old-1
indoorfarmed21,old,6Aug,10:48:25,10:50:48,00:02:23,dir_change,,1,6.0,-8.0,-8.0,,,,,,,,,,,,,,,143.0,,,8.0,old1
indoorfarmed22,old,6Aug,11:18:51,11:20:06,00:01:15,swim_off,,-1,-15.0,6.0,8.0,,,,,,,,,,,,,,,75.0,,,6.0,old-1
indoorfarmed23,old,6Aug,11:55:59,11:59:05,00:03:06,dir_change,,1,6.0,-8.0,-8.0,,,,,,,,,,,,,,,186.0,,,8.0,old1
indoorfarmed24,old,6Aug,12:35:59,12:40:01,00:04:02,swim_off,,-1,,,,,,,,,,,,,,,,,,242.0,,,,old-1
indoorfarmed25,old,6Aug,13:12:37,13:14:20,00:01:43,dir_change,,1,10.0,-13.0,-13.0,,,,,,,,,,,,,,,103.0,,,13.0,old1
indoorfarmed26,old,6Aug,13:49:25,-,nan,unstable,,-1,,,,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed27,old,6Aug,14:57:18,14:58:59,00:01:41,swim_off,,1,6.0,-8.0,-8.0,,,,,,,,,,,,,,,101.0,,,8.0,old1
indoorfarmed28,old,6Aug,15:32:37,-,nan,unstable,,-1,,,,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed29,old,6Aug,16:08:50,-,nan,no_reaction,,1,,,,,,,,,,,,,,,,,,,,,,old1
indoorfarmed30,old,6Aug,16:44:20,16:44:40,00:00:20,unstable,,-1,,,,,,,,,,,,,,,,,,20.0,,,,old-1
indoorfarmed31,old,6Aug,17:21:28,17:23:39,00:02:11,swim_off,,1,6.0,-8.0,-7.0,,,,,,,,,,,,,,,131.0,,,8.0,old1
indoorfarmed32,old,6Aug,17:59:03,18:03:24,00:04:21,dir_change,,-1,-8.0,10.0,9.0,,,,,,,,,,,,,,,261.0,,,10.0,old-1
indoorfarmed33,old,6Aug,18:42:50,18:43:52,00:01:02,dir_change,,1,14.0,-6.0,-9.0,,,,,,,,,,,,,,,62.0,,,6.0,old1
indoorfarmed34,old,6Aug,20:21:52,20:25:45,00:03:53,dir_change,,-1,-8.0,8.0,9.0,,,,,,,,,,,,,,,233.0,,,8.0,old-1
indoorfarmed35,old,6Aug,20:55:31,20:56:36,00:01:05,dir_change,,1,9.0,-8.0,-14.0,,,,,,,,,,,,,,,65.0,,,8.0,old1
indoorfarmed36,old,6Aug,21:24:43,21:27:28,00:02:45,dir_change,,-1,-16.0,10.0,9.0,,,,,,,,,,,,,,,165.0,,,10.0,old-1
indoorfarmed37,old,6Aug,21:52:07,21:53:43,00:01:36,dir_change,,1,7.0,-7.0,-7.0,,,,,,,,,,,,,,,96.0,,,7.0,old1
indoorfarmed38,old,12Sep,15:28:03,15:29:44,00:01:41,dir_change,,-1,-9.0,5.0,6.0,,,,,,,,,,,,,,,101.0,,,5.0,old-1
indoorfarmed39,old,12Sep,15:58:28,-,nan,unstable,,1,,,,,,,,,,,,,,,,,,,,,,old1
indoorfarmed40,old,12Sep,16:25:41,-,nan,no_reaction,,-1,,,,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed41,old,12Sep,16:56:10,16:58:09,00:01:59,swim_off,,1,7.0,8.0,-8.0,,,,,,,,,,,,,,,119.0,,,8.0,old1
indoorfarmed42,old,12Sep,17:30:29,17:32:28,00:01:59,dir_change,,-1,-15.0,10.0,11.0,,,,,,,,,,,,,,,119.0,,,10.0,old-1
indoorfarmed43,old,12Sep,18:00:18,18:01:24,00:01:06,dir_change,,1,7.0,5.0,-20.0,,,,,,,,,,,,,,,66.0,,,5.0,old1
indoorfarmed44,old,13Sep,12:24:25,12:25:49,00:01:24,dir_change,,1,7.0,3.0,-20.0,,,,,,,,,,,,,,,84.0,,,3.0,old1
indoorfarmed45,old,13Sep,12:53:48,12:54:25,00:00:37,swim_off,,-1,-15.0,1.0,11.0,,,,,,,,,,,,,,,37.0,,,1.0,old-1
indoorfarmed46,old,13Sep,13:21:34,13:21:59,00:00:25,dir_change,,1,9.0,2.0,-13.0,,,,,,,,,,,,,,,25.0,,,2.0,old1
indoorfarmed47,old,13Sep,13:53:32,13:54:55,00:01:23,swim_off,,-1,-15.0,7.0,7.0,,,,,,,,,,,,,,,83.0,,,7.0,old-1
indoorfarmed48,old,13Sep,14:22:13,14:23:25,00:01:12,dir_change,,1,7.0,-8.0,-20.0,,,,,,,,,,,,,,,72.0,,,8.0,old1
indoorfarmed49,old,13Sep,14:51:30,14:52:12,00:00:42,swim_off,,-1,-9.0,1.0,6.0,,,,,,,,,,,,,,,42.0,,,1.0,old-1
indoorfarmed50,old,13Sep,15:19:28,15:21:13,00:01:45,dir_change,,1,8.0,-16.0,-15.0,,,,,,,,,,,,,,,105.0,,,16.0,old1
indoorfarmed51,old,13Sep,15:50:51,15:51:30,00:00:39,swim_off,,-1,-9.0,1.0,6.0,,,,,,,,,,,,,,,39.0,,,1.0,old-1
indoorfarmed52,old,13Sep,16:00:46,-,nan,no_reaction,,1,,,,,,,,,,,,,,,,,,,,,,old1
fish56,low,13Mar,14:22:15,14:23:47,00:01:32,dir_change,,-1,-3.75,10.4,,fish56,2.522046609522519,0.1014446120356054,,w,0.12558189554479546,0.3535533905932738,1.2292725943057183,0.9660917830792959,10.8,0.4472135954999579,10.8,-2.8800000000000003,-2.7733333333333334,92.0,10.8,10.8,10.4,low-1
fish57,low,13Mar,14:50:40,14:51:15,00:00:35,dir_change,,1,-9.7,5.7,,fish57,2.181428934840713,0.2286768733006335,,y,0.17387502033600952,1.0593499054713802,1.3006408676751113,2.3118054512532935,5.8,2.6832815729997477,5.8,-0.5979381443298969,-0.5876288659793815,35.0,5.8,5.8,5.7,low1
fish61,low,13Mar,16:41:06,16:44:40,00:03:34,dir_change,,1,5.15,,,fish61,1.9543483747188735,0.9720777652143396,,r,0.20239440180834872,1.4151953143569187,0.23570226039551584,,,,,,,214.0,,,,low1
fish62,low,13Mar,17:08:55,17:11:43,00:02:48,dir_change,,-1,6.8,,,fish62,2.506363702105071,0.9229854326685388,,t,0.09477087776132892,0.6324555320336759,0.48304589153964794,,,,,,,168.0,,,,low-1
fish63,low,13Mar,17:36:25,17:36:55,00:00:30,dir_change,,1,15.7,0.5,,fish63,0.1861501519243095,0.106918372770668,,b,0.06721490275633381,5.538752366533259,0.724568837309472,0.97182531580755,0.2,0.44721359549995804,0.2,0.012738853503184714,0.03184713375796178,30.0,0.2,0.2,0.5,low1
