fish 66 - 81
This version of the experimental file, saves the time of actual direction swith 
2021Mar25_10:03:08, Flow Clockwise (1), 
2021Mar25_10:03:08, Fish Out (Press ENTER before entering the room), 
2021Mar25_10:03:09, Fish In (press ENTER after exiting the room), 
2021Mar25_10:15:39, Flow Counterclockwise (2), 
2021Mar25_10:20:57, Fish Out (Press ENTER before entering the room), 
2021Mar25_10:23:28, Fish In (press ENTER after exiting the room), 
2021Mar25_10:43:41, Flow Clockwise (1), 
2021Mar25_10:48:36, Fish Out (Press ENTER before entering the room), 
2021Mar25_10:50:12, Fish In (press ENTER after exiting the room), 
2021Mar25_11:14:22, Flow Counterclockwise (2), 
2021Mar25_11:19:36, Fish Out (Press ENTER before entering the room), 
2021Mar25_11:22:08, Fish In (press ENTER after exiting the room), 
2021Mar25_11:42:55, Flow Clockwise (1), 
2021Mar25_11:49:22, Fish Out (Press ENTER before entering the room), 
2021Mar25_11:49:22, Fish In (press ENTER after exiting the room), 
2021Mar25_12:10:26, Flow Counterclockwise (2), 
2021Mar25_12:15:34, Fish Out (Press ENTER before entering the room), 
2021Mar25_12:17:09, Fish In (press ENTER after exiting the room), 
2021Mar25_12:37:40, Flow Clockwise (1), 
2021Mar25_12:42:30, Fish Out (Press ENTER before entering the room), 
2021Mar25_12:44:01, Fish In (press ENTER after exiting the room), 
2021Mar25_13:05:25, Flow Counterclockwise (2), 
2021Mar25_13:10:30, Fish Out (Press ENTER before entering the room), 
2021Mar25_13:11:56, Fish In (press ENTER after exiting the room), 
2021Mar25_13:32:12, Flow Clockwise (1), 
2021Mar25_13:38:10, Fish Out (Press ENTER before entering the room), 
2021Mar25_13:39:23, Fish In (press ENTER after exiting the room), 
2021Mar25_14:00:47, Flow Counterclockwise (2), 
2021Mar25_14:06:27, Fish Out (Press ENTER before entering the room), 
2021Mar25_14:08:47, Fish In (press ENTER after exiting the room), 
2021Mar25_14:29:47, Flow Clockwise (1), 
2021Mar25_14:35:40, Fish Out (Press ENTER before entering the room), 
2021Mar25_14:37:14, Fish In (press ENTER after exiting the room), 
2021Mar25_14:57:32, Flow Counterclockwise (2), 
2021Mar25_15:02:31, Fish Out (Press ENTER before entering the room), 
2021Mar25_15:04:00, Fish In (press ENTER after exiting the room), 
2021Mar25_15:24:50, Flow Clockwise (1), 
2021Mar25_15:30:58, Fish Out (Press ENTER before entering the room), 
2021Mar25_15:32:31, Fish In (press ENTER after exiting the room), 
